Class,Precision,Recall,Dice,HD95
Ventricles,0.9402713558049859,0.8527360779851076,0.8943669647770582,5.0
Abnormal WMH,0.8936058136784847,0.8838947726596061,0.8887237659433331,2.0
Overall,0.9169385847417353,0.8683154253223568,0.8915453653601957,3.5
