Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,0.01,0.01,0.01,0.00,0.00,0.16,0.16,0.16,0.05,0.11,110,205,29,61
30-39,34.5,0.01,0.00,0.01,0.00,0.00,0.36,0.32,0.33,0.10,0.23,110,269,37,101
40-49,44.5,0.01,0.01,0.01,0.00,0.00,0.30,0.36,0.34,0.09,0.26,77,144,29,74
50-59,54.5,0.01,0.01,0.01,0.00,0.01,0.30,0.40,0.37,0.08,0.29,24,48,12,33
60+,64.5,0.00,0.01,0.01,0.00,0.01,0.75,0.80,0.79,0.15,0.64,5,6,1,4
