Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,0.58,0.55,0.56,0.20,0.36,16.37,16.17,16.24,5.27,10.96,110,205,29,61
30-39,34.5,0.62,0.49,0.53,0.18,0.35,36.26,31.75,32.96,9.72,23.24,110,269,37,101
40-49,44.5,0.68,0.60,0.62,0.24,0.39,30.38,35.97,34.39,8.55,25.84,77,144,29,74
50-59,54.5,0.61,0.75,0.71,0.20,0.50,29.73,39.58,36.95,7.93,29.03,24,48,12,33
60+,64.5,0.49,0.95,0.74,0.22,0.52,75.13,80.31,79.27,15.03,64.25,5,6,1,4
