Group,Male Count,Female Count,Total,Male %,Female %,Male:Female Ratio
All Participants,435,946,1381,31.5%,68.5%,0.46:1
HC,327,673,1000,32.7%,67.3%,0.49:1
MS,108,273,381,28.3%,71.7%,0.40:1
