Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,24.87,21.34,22.57,8.69,13.89,718.34,651.77,673.22,231.47,441.76,110,205,29,61
30-39,34.5,26.88,19.56,21.68,7.80,13.88,1543.57,1244.83,1324.93,413.86,911.07,110,269,37,101
40-49,44.5,29.58,23.95,25.91,10.31,15.61,1330.03,1421.32,1395.62,374.48,1021.15,77,144,29,74
50-59,54.5,26.67,29.54,28.58,8.89,19.69,1275.67,1576.85,1496.53,340.18,1156.36,24,48,12,33
60+,64.5,21.20,36.67,29.64,9.64,20.00,3125.00,3208.75,3192.00,625.00,2567.00,5,6,1,4
