Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,1.05,1.01,1.02,0.37,0.66,31.56,31.43,31.48,10.17,21.31,110,205,29,61
30-39,34.5,1.15,0.93,0.99,0.33,0.66,68.82,62.05,63.86,18.45,45.41,110,269,37,101
40-49,44.5,1.28,1.12,1.18,0.45,0.73,61.69,71.26,68.56,17.37,51.19,77,144,29,74
50-59,54.5,1.12,1.42,1.32,0.37,0.95,59.28,80.56,74.89,15.81,59.08,24,48,12,33
60+,64.5,0.94,1.74,1.38,0.43,0.95,156.74,164.15,162.67,31.35,131.32,5,6,1,4
