Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,2562.76,2245.02,2355.98,894.93,1461.05,3439.97,2894.75,3070.43,1108.43,1962.00,110,205,29,61
30-39,34.5,2813.69,2438.02,2547.06,816.64,1730.42,3933.03,3562.48,3661.83,1054.51,2607.32,110,269,37,101
40-49,44.5,2807.83,2668.18,2716.84,978.29,1738.54,4118.41,4113.66,4115.00,1159.55,2955.45,77,144,29,74
50-59,54.5,3501.42,2535.79,2857.67,1167.14,1690.53,5135.08,4778.58,4873.64,1369.36,3504.29,24,48,12,33
60+,64.5,4237.60,3117.33,3626.55,1926.18,1700.36,5721.00,5525.50,5564.60,1144.20,4420.40,5,6,1,4
