Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,107.07,105.95,106.34,37.39,68.95,146.63,135.99,139.42,47.25,92.17,110,205,29,61
30-39,34.5,118.25,115.38,116.21,34.32,81.89,171.83,173.65,173.16,46.07,127.09,110,269,37,101
40-49,44.5,121.07,124.96,123.61,42.18,81.42,190.68,200.66,197.85,53.69,144.17,77,144,29,74
50-59,54.5,151.22,122.56,132.11,50.41,81.71,236.74,236.74,236.74,63.13,173.61,24,48,12,33
60+,64.5,183.62,146.60,163.43,83.46,79.97,286.94,276.54,278.62,57.39,221.23,5,6,1,4
