Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,0.59,0.57,0.58,0.21,0.37,0.77,0.72,0.74,0.25,0.49,110,205,29,61
30-39,34.5,0.63,0.61,0.62,0.18,0.44,0.91,0.90,0.90,0.24,0.66,110,269,37,101
40-49,44.5,0.64,0.66,0.66,0.22,0.43,0.95,1.03,1.01,0.27,0.74,77,144,29,74
50-59,54.5,0.79,0.64,0.69,0.26,0.43,1.20,1.19,1.19,0.32,0.87,24,48,12,33
60+,64.5,0.98,0.79,0.88,0.45,0.43,1.38,1.38,1.38,0.28,1.11,5,6,1,4
