Group,N,Mean,SD,Median,Q25,Q75,IQR,Min,Max,Range
HC_Male,327,34.8,10.8,35.0,26.0,41.5,15.5,18.0,72.0,54.0
HC_Female,673,34.7,9.8,34.0,27.0,41.0,14.0,18.0,74.0,56.0
MS_Male,108,36.6,10.5,34.5,29.0,45.2,16.2,18.0,60.0,42.0
MS_Female,273,37.7,10.1,37.0,30.0,44.0,14.0,18.0,68.0,50.0
