Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,0.01,0.01,0.01,0.00,0.01,0.32,0.31,0.31,0.10,0.21,110,205,29,61
30-39,34.5,0.01,0.01,0.01,0.00,0.01,0.69,0.62,0.64,0.18,0.45,110,269,37,101
40-49,44.5,0.01,0.01,0.01,0.00,0.01,0.62,0.71,0.69,0.17,0.51,77,144,29,74
50-59,54.5,0.01,0.01,0.01,0.00,0.01,0.59,0.81,0.75,0.16,0.59,24,48,12,33
60+,64.5,0.01,0.02,0.01,0.00,0.01,1.57,1.64,1.63,0.31,1.31,5,6,1,4
