Group,Gender,Count,Percentage,Pie_Value,Color
All Participants,Male,435,31.5%,435,#1f77b4
All Participants,Female,946,68.5%,946,#d62728
HC,Male,327,32.7%,327,#1f77b4
HC,Female,673,67.3%,673,#d62728
MS,Male,108,28.3%,108,#1f77b4
MS,Female,273,71.7%,273,#d62728
