Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,58.84,57.03,57.66,20.55,37.11,77.34,72.47,74.04,24.92,49.12,110,205,29,61
30-39,34.5,63.43,61.30,61.92,18.41,43.51,90.69,90.14,90.29,24.32,65.97,110,269,37,101
40-49,44.5,63.79,66.50,65.55,22.22,43.33,95.40,103.01,100.87,26.86,74.01,77,144,29,74
50-59,54.5,79.17,64.44,69.35,26.39,42.96,119.72,118.71,118.98,31.93,87.05,24,48,12,33
60+,64.5,97.96,79.41,87.84,44.53,43.31,137.53,138.14,138.02,27.51,110.51,5,6,1,4
