Class,Precision,Recall,Dice,HD95
Ventricles,0.9267592446359678,0.8537779232723814,0.888772891147419,8.0
Abnormal WMH,0.8580508142914542,0.8742503508995789,0.8660748379754755,3.0
Overall,0.892405029463711,0.8640141370859802,0.8774238645614472,5.5
