Class,Precision,Recall,Dice,HD95
Ventricles,0.9350386492217639,0.8557862684271513,0.8936588145122335,7.0
Abnormal WMH,0.8882783495340745,0.8929915784101059,0.8906287283850715,2.0
Overall,0.9116584993779192,0.8743889234186286,0.8921437714486524,4.5
