Variant,Variant_Name,N_Folds,Best_Epoch_Mean,Best_Epoch_Std,Best_Epoch_Min,Best_Epoch_Max,Composite_Score_Mean,Composite_Score_Std,Best_Epoch_Val_Loss_Mean,Best_Epoch_Val_Loss_Std,Best_Epoch_Dice_Mean_Mean,Best_Epoch_Dice_Mean_Std,Best_Epoch_Dice_Ventricles_Mean,Best_Epoch_Dice_Ventricles_Std,Best_Epoch_Dice_Abnormal_WMH_Mean,Best_Epoch_Dice_Abnormal_WMH_Std
1,unet,4,42.75,4.815340071064556,36,49,0.8291107294531901,0.0159444009351335,0.284610815346241,0.02462779461924618,0.9092179358350473,0.00821557699733339,0.9332827928529066,0.005276587173391204,0.7959782885532373,0.02911192217235299
2,attnunet,4,37.5,2.8722813232690143,35,42,0.8172910527878241,0.03272955110785234,0.3047698736190796,0.05080431749397413,0.9017066905139327,0.018107910266314746,0.9212355924688412,0.013870856883885596,0.7856622706817994,0.044953429555710196
3,dlv3unet,4,34.75,6.7592529172978875,28,42,0.7876600843884642,0.018658861388516038,0.35384179651737213,0.029172388598382663,0.8850676805485197,0.009980085098274465,0.9044914996438328,0.0049556335292024285,0.7528280235784197,0.03190873102426834
4,transunet,4,37.5,7.22841614740048,28,48,0.8194273513199967,0.028025314220223092,0.2948276922106743,0.0365483168698032,0.904108618590283,0.01421469994866525,0.9316095523383316,0.0036677177073460732,0.7823787580659411,0.0446502980212195
