Metric,All,HC,MS,HC_Male,HC_Female,MS_Male,MS_Female
Total Participants,1271,918,353,287,631,98,255
Gender Ratio (M:F),0.43:1,0.45:1,0.38:1,N/A,N/A,N/A,N/A
Mean Age,35.6,35.0,37.4,35.0,35.0,36.6,37.7
Median Age,35.0,35.0,37.0,35.0,35.0,34.5,37.0
Age SD,10.3,10.2,10.4,10.8,9.9,10.8,10.2
