Bin_Center,Age_Range,Bin_Start,Bin_End,HC Male_Count,HC Female_Count,MS Male_Count,MS Female_Count,Total_in_Bin
20.5,18-23,18.0,23.0,47,76,8,16,147
25.5,23-28,23.0,28.0,35,78,9,27,149
30.5,28-33,28.0,33.0,34,93,26,35,188
35.5,33-38,33.0,38.0,52,145,11,50,258
40.5,38-43,38.0,43.0,49,111,12,48,220
45.5,43-48,43.0,48.0,32,53,17,37,139
50.5,48-53,48.0,53.0,20,36,7,19,82
55.5,53-58,53.0,58.0,8,22,5,14,49
60.5,58-63,58.0,63.0,2,8,3,6,19
65.5,63-68,63.0,68.0,4,3,0,2,9
