Group,Gender,Count,Percentage,Pie_Value,Color
All Participants,Male,435,31.40%,434,#1f77b4
All Participants,Female,946,68.60%,946,#d62728
HC,Male,327,32.60%,326,#1f77b4
HC,Female,673,67.40%,673,#d62728
MS,Male,108,28.30%,108,#1f77b4
MS,Female,273,71.70%,273,#d62728
