Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,39.05,15.34,23.57,13.55,10.02,175.21,140.23,151.50,56.46,95.04,109,205,29,61
30-39,34.5,28.08,11.67,16.40,8.10,8.30,415.24,273.83,312.02,112.15,199.88,107,264,37,100
40-49,44.5,27.43,14.74,19.16,9.56,9.61,407.97,365.53,377.48,114.86,262.61,77,144,29,74
50-59,54.5,24.08,15.25,18.19,8.03,10.17,371.50,366.30,367.69,99.07,268.62,24,48,12,33
60+,64.5,19.80,18.17,18.91,9.00,9.91,771.00,777.25,776.00,154.20,621.80,5,6,1,4
