Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 0.03,0.03 to 0.05,0.05,0.03,0.01
HC,30-39,0.00 to 0.02,0.02 to 0.03,0.03,0.02,0.01
HC,40-49,0.00 to 0.02,0.02 to 0.04,0.04,0.02,0.01
HC,50-59,0.00 to 0.02,0.02 to 0.03,0.03,0.02,0.01
HC,60+,0.00 to 0.02,0.02 to 0.03,0.03,0.02,0.02
MS,18-29,0.00 to 0.14,0.14 to 0.27,0.27,0.14,0.13
MS,30-39,0.00 to 0.36,0.36 to 0.61,0.61,0.36,0.25
MS,40-49,0.00 to 0.34,0.34 to 0.67,0.67,0.34,0.33
MS,50-59,0.00 to 0.32,0.32 to 0.65,0.65,0.32,0.33
MS,60+,0.00 to 0.70,0.70 to 1.42,1.42,0.70,0.72
