Group,Male Count,Female Count,Total,Male %,Female %,Male:Female Ratio
All Participants,435,946,1380,31.40%,68.60%,0.46:1
HC,327,673,999,32.60%,67.40%,0.48:1
MS,108,273,381,28.30%,71.70%,0.40:1
