Metric,All,HC,MS,HC_Male,HC_Female,MS_Male,MS_Female
Total Participants,1380,999,381,326,673,108,273
Gender Ratio (M:F),0.46:1,0.48:1,0.40:1,N/A,N/A,N/A,N/A
Mean Age,35.5,34.7,37.4,34.8,34.7,36.6,37.7
Median Age,35.0,34.0,37.0,35.0,34.0,34.5,37.0
Age SD,10.3,10.2,10.2,10.8,9.9,10.5,10.2
