Age_Group,Age_Center,HC_Male_Mean,HC_Female_Mean,HC_Combined_Mean,HC_Male_Contribution,HC_Female_Contribution,MS_Male_Mean,MS_Female_Mean,MS_Combined_Mean,MS_Male_Contribution,MS_Female_Contribution,HC_Male_N,HC_Female_N,MS_Male_N,MS_Female_N
18-29,23.5,0.03,0.01,0.02,0.01,0.01,0.14,0.13,0.13,0.05,0.09,109,205,29,61
30-39,34.5,0.02,0.01,0.01,0.01,0.01,0.36,0.25,0.28,0.10,0.19,107,264,37,100
40-49,44.5,0.02,0.01,0.02,0.01,0.01,0.34,0.33,0.33,0.10,0.24,77,144,29,74
50-59,54.5,0.02,0.01,0.02,0.01,0.01,0.32,0.33,0.33,0.08,0.24,24,48,12,33
60+,64.5,0.02,0.02,0.02,0.01,0.01,0.70,0.72,0.71,0.14,0.58,5,6,1,4
