Model,Overall_Accuracy,Ventricles_Precision,Ventricles_Recall,Ventricles_F1,Ventricles_Dice,Ventricles_IoU,Abnormal WMH_Precision,Abnormal WMH_Recall,Abnormal WMH_F1,Abnormal WMH_Dice,Abnormal WMH_IoU,Mean_Dice,Mean_IoU
Enhanced_Attention_U-Net,0.9946039199829102,0.8538942026156549,0.8560162808445688,0.8549539249313516,0.854953924932769,0.7466546,0.9211708448051007,0.3300451689943409,0.4859720204877303,0.4859720205073782,0.32097957,0.6704629727200736,0.5338171
Enhanced_Trans_U-Net,0.9945531845092773,0.9188074126416084,0.7887795237070231,0.8488428411986438,0.8488428412002353,0.73738223,0.9341111873713109,0.2826436841285499,0.4339750488261788,0.4339750488487395,0.27711886,0.6414089450244874,0.50725055
Hybrid_Model,0.9946929931640625,0.930813813088626,0.7542610022894938,0.8332882946180536,0.8332882946198557,0.7142195,0.8907496012759171,0.4059498468407663,0.5577231712971219,0.5577231713128955,0.38669634,0.6955057329663756,0.55045795
Enhanced_U-Net,0.9947999954223633,0.9044618044158516,0.8088174862532532,0.8539699592983616,0.8539699592998702,0.745155,0.9202521238695534,0.348683868957998,0.5057419330547084,0.5057419330733182,0.3384569,0.6798559461865942,0.5418059
U-Net,0.9948478698730469,0.889054355919583,0.7943956323503513,0.83906371105255,0.8390637110542132,0.72274745,0.8267736274755578,0.5136804942630185,0.6336620981170744,0.6336620981288055,0.46376675,0.7363629045915093,0.59325707
Attention_U-Net,0.9951658248901367,0.8992947813822285,0.8109895700839481,0.8528624933119315,0.8528624933134454,0.74347013,0.8435095349615256,0.5235969056642957,0.6461223051542428,0.6461223051655789,0.4772383,0.7494923992395122,0.6103542
DeepLabV3Plus,0.9936809539794922,0.878258151389824,0.7147329902354069,0.7881024047642166,0.7881024047665026,0.65030444,0.7765314926660914,0.4205389128290328,0.5456015088239257,0.5456015088392294,0.37513894,0.666851956802866,0.51272166
Trans_U-Net,0.9948900222778321,0.876709472981988,0.8229262469913704,0.8489669025244522,0.8489669025259766,0.7375695,0.8421731123388582,0.4748455428067079,0.6072839547159788,0.6072839547290169,0.4360429,0.7281254286274967,0.5868062
